gill-attachment_cap-diameter_mean,gill-attachment_stem-width_min,gill-attachment_stem-width_median,gill-attachment_cap-diameter_median,stem-width,stem-color_stem-height_mean,gill-attachment_cap-diameter_min,gill-attachment_stem-width_mean,gill-attachment_stem-height_median,cap-diameter,cap-shape_cap-diameter_median,class
4.992667087807959,0.0,5.96,3.88,6.21,7.289946861715429,0.38,8.376766898294377,5.69,4.98,4.25,1
4.992667087807959,0.0,5.96,3.88,3.55,5.948164773751578,0.38,8.376766898294377,5.69,2.84,6.27,1
4.992667087807959,0.0,5.96,3.88,25.29,6.7454906136614605,0.38,8.376766898294377,5.69,11.44,6.27,0
7.203423524463759,0.8,9.09,6.4,13.61,5.112924281984334,0.47,11.894995093228657,5.27,8.77,6.83,1
12.32178494623656,3.36,21.77,8.98,18.44,5.948164773751578,2.49,24.28452329749104,7.45,7.55,6.27,0
7.203423524463759,0.8,9.09,6.4,2.6,7.289946861715429,0.47,11.894995093228657,5.27,3.0,6.83,1
7.203423524463759,0.8,9.09,6.4,2.68,7.289946861715429,0.47,11.894995093228657,5.27,2.78,6.27,1
6.174267491302667,2.02,9.76,5.91,4.22,6.7454906136614605,1.77,10.635550831078469,6.62,3.12,6.27,1
7.203423524463759,0.8,9.09,6.4,2.32,6.7454906136614605,0.47,11.894995093228657,5.27,1.48,6.27,1
8.692903951975989,3.08,12.76,7.71,12.88,7.289946861715429,2.21,12.848816908454229,8.6,5.94,6.27,0
7.203423524463759,0.8,9.09,6.4,6.13,6.055853174603175,0.47,11.894995093228657,5.27,6.25,6.83,1
4.992667087807959,0.0,5.96,3.88,1.45,6.7454906136614605,0.38,8.376766898294377,5.69,1.47,4.66,1
7.203423524463759,0.8,9.09,6.4,7.96,7.289946861715429,0.47,11.894995093228657,5.27,3.05,6.27,1
4.992667087807959,0.0,5.96,3.88,1.53,5.948164773751578,0.38,8.376766898294377,5.69,1.41,6.27,0
6.174267491302667,2.02,9.76,5.91,4.14,6.7454906136614605,1.77,10.635550831078469,6.62,4.35,6.27,1
8.692903951975989,3.08,12.76,7.71,14.44,7.289946861715429,2.21,12.848816908454229,8.6,8.49,6.33,0
4.526979810465595,0.0,14.69,3.99,25.15,6.7454906136614605,1.03,16.966674907292955,4.21,8.84,4.66,1
6.174267491302667,2.02,9.76,5.91,4.71,6.7454906136614605,1.77,10.635550831078469,6.62,4.42,3.31,1
4.526979810465595,0.0,14.69,3.99,6.21,6.055853174603175,1.03,16.966674907292955,4.21,3.02,6.83,0
4.992667087807959,0.0,5.96,3.88,24.09,7.289946861715429,0.38,8.376766898294377,5.69,18.39,6.83,0
6.914127268080756,1.78,11.26,6.81,10.32,6.7454906136614605,2.2,13.122698696652186,5.89,7.52,6.33,0
4.992667087807959,0.0,5.96,3.88,1.33,5.6829060293318845,0.38,8.376766898294377,5.69,1.35,4.25,0
12.32178494623656,3.36,21.77,8.98,34.57,7.289946861715429,2.49,24.28452329749104,7.45,17.5,6.27,0
4.992667087807959,0.0,5.96,3.88,22.42,6.7454906136614605,0.38,8.376766898294377,5.69,7.68,4.66,0
7.203423524463759,0.8,9.09,6.4,5.92,6.7454906136614605,0.47,11.894995093228657,5.27,2.69,6.83,0
7.203423524463759,0.8,9.09,6.4,12.31,7.289946861715429,0.47,11.894995093228657,5.27,7.0,6.83,0
4.992667087807959,0.0,5.96,3.88,1.72,6.7454906136614605,0.38,8.376766898294377,5.69,1.16,6.27,1
7.203423524463759,0.8,9.09,6.4,8.25,7.289946861715429,0.47,11.894995093228657,5.27,2.97,6.33,1
4.992667087807959,0.0,5.96,3.88,1.12,6.7454906136614605,0.38,8.376766898294377,5.69,1.22,6.27,0
6.174267491302667,2.02,9.76,5.91,3.61,5.948164773751578,1.77,10.635550831078469,6.62,3.56,3.31,0
8.692903951975989,3.08,12.76,7.71,11.28,7.289946861715429,2.21,12.848816908454229,8.6,11.23,6.27,0
4.992667087807959,0.0,5.96,3.88,1.6,7.289946861715429,0.38,8.376766898294377,5.69,0.86,8.2,0
8.692903951975989,3.08,12.76,7.71,16.62,7.289946861715429,2.21,12.848816908454229,8.6,15.25,6.27,0
4.992667087807959,0.0,5.96,3.88,5.79,5.948164773751578,0.38,8.376766898294377,5.69,2.57,6.27,1
6.914127268080756,1.78,11.26,6.81,7.28,5.933733333333333,2.2,13.122698696652186,5.89,4.61,6.27,1
6.914127268080756,1.78,11.26,6.81,12.84,6.055853174603175,2.2,13.122698696652186,5.89,8.01,6.33,0
7.203423524463759,0.8,9.09,6.4,14.35,7.289946861715429,0.47,11.894995093228657,5.27,10.52,6.33,0
4.992667087807959,0.0,5.96,3.88,5.82,6.055853174603175,0.38,8.376766898294377,5.69,4.05,6.27,0
4.992667087807959,0.0,5.96,3.88,3.81,6.7454906136614605,0.38,8.376766898294377,5.69,4.08,6.33,0
