feature 1,feature 2,class
-2.0920699286645985,-0.9792793980010959,1.0
5.806422565404685,-5.085766792404418,1.0
5.389552619686659,-4.098956148341513,0.0
-1.44551430362415,7.883542070860478,1.0
0.9857936308137528,9.872187859555494,0.0
-3.5256205519365045,-1.806338067721579,1.0
-2.9156275383414716,-2.2060589842720173,1.0
-1.7747027525199675,-0.4519358831696963,1.0
-3.5857552674893967,-2.40949733954733,1.0
-0.3340476593071562,0.2633607928371639,0.0
-2.8056586202852904,-1.13243012685104,1.0
-3.1132535972927506,-0.8924817925376094,1.0
-2.332324111620247,-1.866292643707131,1.0
-2.133921693495296,-2.5096247357003474,0.0
-1.7680768976407895,-1.4493604122632333,1.0
6.098193733860977,-3.1536401011791484,0.0
-4.818503429529111,-1.5140128331883114,1.0
-1.699804049254801,-1.316013443703507,1.0
-4.361812004458526,-0.684339868472371,0.0
-3.517192510893556,-0.9720907022305799,0.0
-1.6168400796140077,-1.1593771518009208,0.0
-2.328065936523654,-2.2935347791539074,0.0
-1.0251503511653488,2.1615163806316176,0.0
-2.5929357521332514,-0.8292103475477925,0.0
-0.6979207513009952,7.6647790318497515,0.0
-4.037145722743185,-0.19092585280813953,0.0
-2.9427427626953793,-1.8741101919086451,1.0
-2.3315635391655585,-1.854629438674947,1.0
-0.5158255183631199,5.123442015621928,0.0
-2.8477226800927697,-2.2350776031931123,0.0
-0.930938587529663,-0.5689686802438606,0.0
-2.2938569020935278,-2.2964773699510137,0.0
6.300481980695018,5.475903401447818,0.0
-2.399665011604644,-2.2226953476780635,1.0
4.404679413982934,-3.541605783651396,1.0
-1.9728369398668586,-0.007626225077960226,0.0
-2.0804339751701932,-1.0661655222428974,0.0
-3.0156459016941852,-2.64910943294896,0.0
-3.1961270034113523,-1.764959645728319,0.0
-1.4338393642788931,-0.5375740544791545,0.0
-2.0981488727764597,-0.48183130047659706,0.0
-1.001406499703132,7.5694142966051325,1.0
-2.8237451171154375,-1.3685111173122508,1.0
-2.0603413312026966,-0.6509374691713687,0.0
3.151662443944036,-2.0017201095608743,0.0
-2.074850714493451,-0.18315387784622542,0.0
3.470021911440687,0.32450008280539494,1.0
-0.668870330094552,-1.1367137608981,1.0
-0.6654633211463634,7.896503288741869,1.0
-0.40263818711169297,2.642156385525596,0.0
-4.463817413006126,-0.9094486808719133,1.0
6.0422770974408895,-1.8553685748449185,1.0
5.853896057681834,-4.785495720797725,1.0
-0.6806758327413202,-1.156131197839284,1.0
